Youtube,#genre#
TVB J2,http://r.jdshipin.com/ndGgS
TVBRICS,http://brics.bonus-tv.ru/cdn/brics/chinese/tracks-v1a1/index.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/playlist.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVB翡翠台,http://198.16.100.90:8278/jade_twn/playlist.m3u8?tid=ME6E1330319113303191&ct=19225&tsum=d76985c4965fd63807e131035f66af09
TVB翡翠台,http://r.jdshipin.com/qClQf
TVB无线财经,http://live.cooltv.top/tv/tvb.php?id=2
TVB无线财经,https://epg.pw/stream/9a5717216f8e5e6563211d66d2867374bfdfdd8a9ee8c48b0de2ddcb3a1f9b0d.ctv
TVB无线新闻,http://live.cooltv.top/tv/tvb.php?id=0
TVB香港国际财经台,https://epg.pw/stream/d7d42738d28d82242956de378400f29c137bb4844173f1517b19bad0dd5c95d5.m3u8
TVB香港有线新闻,https://epg.pw/stream/4c65fc12a950810e9f068c55b2abf43cf7937762e9c5d4d44381205743c731bf.ctv
TVB星河,http://r.jdshipin.com/sXuuD
TVB有线财经信息台,https://epg.pw/stream/0fddc0600d3868b05ad741d46294410aebca0fdc4fada5028dc54e624b7b17ca.m3u8
TVB有线新闻,http://61.10.2.140:80/live_freedirect/freehd209_h.live/chunklist_w135209556.m3u8
TVB有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u
TVB有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
TVB有线新闻,http://cm61-10-2-143.hkcable.com.hk/live_freedirect/freehd209_h.live/playlist.m3u8
TVB有线新闻,https://epg.pw/stream/a546fb9f46c4fbd26bfe5b62692b029b734cb147ea737d9bd0e525822acb1a45.m3u8
TVB有线新闻,https://epg.pw/stream/d51cb354166be0099c5d4fcfd3484b6e6a83849a6dafeaa7a625f2a2fbe24e5f.m3u8
ABC新闻,http://38.96.178.201:80/live/ABCHD/index.m3u8
BBC美洲,http://38.96.178.201:80/live/BBCAmerica/index.m3u8
BBC新闻,https://epg.pw/stream/a6cbddde9b44bf2d5c0d0b08a4b48dc86da793a9bef40c18b1f616782744db4c.m3u8
Cartoon Network,http://38.96.178.201:80/live/CartoonNetwork/index.m3u8
CBN新闻,https://bcovlive-a.akamaihd.net/re8d9f611ee4a490a9bb59e52db91414d/us-east-1/734546207001/playlist.m3u8
CCTV1,http://116.25.242.161:18888/udp/239.77.0.129:5146
CCTV1,http://116.25.242.161:18888/udp/239.77.0.86:5146
CCTV1,http://116.25.242.161:18888/udp/239.77.1.144:5146
CCTV1,http://116.25.242.161:18888/udp/239.77.1.17:5146
CCTV1,http://116.252.28.195:9099/udp/239.81.0.102:4056
CCTV1,http://116.252.28.195:9099/udp/239.81.0.13:4056
CCTV1,http://121.234.169.87:8889/rtp/239.49.1.1:6000
CCTV1,http://121.234.169.87:8889/rtp/239.49.8.129:6000
CCTV1,http://27.11.104.166:8001/udp/225.0.4.74:7980
CCTV1,http://27.11.104.166:8002/udp/225.0.4.74:7980
CCTV1,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV1,http://49.65.90.128:8800/rtp/239.49.1.1:6000
CCTV1,http://49.65.90.128:8800/rtp/239.49.8.129:6000
CCTV1,http://49.83.225.47:4022/rtp/239.49.1.1:6000
CCTV1,http://49.83.225.47:4022/rtp/239.49.8.129:6000
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV2,http://116.25.242.161:18888/udp/239.253.43.17:5146
CCTV2,http://116.25.242.161:18888/udp/239.77.0.137:5146
CCTV2,http://116.25.242.161:18888/udp/239.77.1.158:5146
CCTV2,http://116.252.28.195:9099/udp/239.81.0.115:4056
CCTV2,http://116.252.28.195:9099/udp/239.81.0.14:4056
CCTV2,http://121.234.169.87:8889/rtp/239.49.1.2:6000
CCTV2,http://121.234.169.87:8889/rtp/239.49.8.130:6000
CCTV2,http://27.11.104.166:8001/udp/225.0.4.132:7980
CCTV2,http://27.11.104.166:8002/udp/225.0.4.132:7980
CCTV2,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV2,http://49.65.90.128:8800/rtp/239.49.1.2:6000
CCTV2,http://49.65.90.128:8800/rtp/239.49.8.130:6000
CCTV2,http://49.83.225.47:4022/rtp/239.49.1.2:6000
CCTV2,http://49.83.225.47:4022/rtp/239.49.8.130:6000
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://116.25.242.161:18888/udp/239.77.0.169:5146
CCTV3,http://116.25.242.161:18888/udp/239.77.0.175:5146
CCTV3,http://116.252.28.195:9099/udp/239.81.0.231:4056
CCTV3,http://121.234.169.87:8889/rtp/239.49.1.3:6000
CCTV3,http://121.234.169.87:8889/rtp/239.49.9.31:6000
CCTV3,http://27.11.104.166:8001/udp/225.0.4.142:7980
CCTV3,http://27.11.104.166:8002/udp/225.0.4.142:7980
CCTV3,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV3,http://49.65.90.128:8800/rtp/239.49.1.3:6000
CCTV3,http://49.65.90.128:8800/rtp/239.49.9.31:6000
CCTV3,http://49.83.225.47:4022/rtp/239.49.1.3:6000
CCTV3,http://49.83.225.47:4022/rtp/239.49.9.31:6000
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
CCTV4,http://116.25.242.161:18888/udp/239.77.0.174:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.0.194:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.0.78:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.1.163:5146
CCTV4,http://116.25.242.161:18888/udp/239.77.1.166:5146
CCTV4,http://116.252.28.195:9099/udp/239.81.0.16:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.69:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.71:4056
CCTV4,http://116.252.28.195:9099/udp/239.81.0.96:4056
CCTV4,http://121.234.169.87:8889/rtp/239.49.1.4:6000
CCTV4,http://121.234.169.87:8889/rtp/239.49.8.131:6000
CCTV4,http://27.11.104.166:8001/udp/225.0.4.176:7980
CCTV4,http://27.11.104.166:8002/udp/225.0.4.176:7980
CCTV4,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV4,http://49.65.90.128:8800/rtp/239.49.1.4:6000
CCTV4,http://49.65.90.128:8800/rtp/239.49.8.131:6000
CCTV4,http://49.83.225.47:4022/rtp/239.49.1.4:6000
CCTV4,http://49.83.225.47:4022/rtp/239.49.8.131:6000
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/index.m3u8
CCTV5,http://116.25.242.161:18888/udp/239.77.0.170:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.0.177:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.0.87:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.1.147:5146
CCTV5,http://116.25.242.161:18888/udp/239.77.1.31:5146
CCTV5,http://116.252.28.195:9099/udp/239.81.0.101:4056
CCTV5,http://116.252.28.195:9099/udp/239.81.0.232:4056
CCTV5,http://121.234.169.87:8889/rtp/239.49.1.5:6000
CCTV5,http://121.234.169.87:8889/rtp/239.49.8.137:6000
CCTV5,http://121.234.169.87:8889/rtp/239.49.9.32:6000
CCTV5,http://27.11.104.166:8001/udp/225.0.4.143:7980
CCTV5,http://27.11.104.166:8001/udp/225.0.4.73:7980
CCTV5,http://27.11.104.166:8002/udp/225.0.4.143:7980
CCTV5,http://27.11.104.166:8002/udp/225.0.4.73:7980
CCTV5,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5,http://49.65.90.128:8800/rtp/239.49.1.5:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.8.137:6000
CCTV5,http://49.65.90.128:8800/rtp/239.49.9.32:6000
CCTV5,http://49.83.225.47:4022/rtp/239.49.1.5:6000
CCTV5,http://49.83.225.47:4022/rtp/239.49.8.137:6000
CCTV5,http://49.83.225.47:4022/rtp/239.49.9.32:6000
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/index.m3u8
CCTV5+,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/index.m3u8
CCTV6,http://116.25.242.161:18888/udp/239.77.0.171:5146
CCTV6,http://116.25.242.161:18888/udp/239.77.0.178:5146
CCTV6,http://116.252.28.195:9099/udp/239.81.0.233:4056
CCTV6,http://121.234.169.87:8889/rtp/239.49.1.6:6000
CCTV6,http://121.234.169.87:8889/rtp/239.49.9.33:6000
CCTV6,http://27.11.104.166:8001/udp/225.0.4.144:7980
CCTV6,http://27.11.104.166:8002/udp/225.0.4.144:7980
CCTV6,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV6,http://49.65.90.128:8800/rtp/239.49.1.6:6000
CCTV6,http://49.65.90.128:8800/rtp/239.49.9.33:6000
CCTV6,http://49.83.225.47:4022/rtp/239.49.1.6:6000
CCTV6,http://49.83.225.47:4022/rtp/239.49.9.33:6000
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV7,http://116.25.242.161:18888/udp/239.77.0.138:5146
CCTV7,http://116.25.242.161:18888/udp/239.77.1.159:5146
CCTV7,http://116.25.242.161:18888/udp/239.77.1.167:5146
CCTV7,http://116.252.28.195:9099/udp/239.81.0.116:4056
CCTV7,http://116.252.28.195:9099/udp/239.81.0.19:4056
CCTV7,http://121.234.169.87:8889/rtp/239.49.1.254:6000
CCTV7,http://121.234.169.87:8889/rtp/239.49.8.132:6000
CCTV7,http://27.11.104.166:8001/udp/225.0.4.127:7980
CCTV7,http://27.11.104.166:8002/udp/225.0.4.127:7980
CCTV7,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV7,http://49.65.90.128:8800/rtp/239.49.1.254:6000
CCTV7,http://49.65.90.128:8800/rtp/239.49.8.132:6000
CCTV7,http://49.83.225.47:4022/rtp/239.49.1.254:6000
CCTV7,http://49.83.225.47:4022/rtp/239.49.8.132:6000
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/index.m3u8
CCTV8,http://116.25.242.161:18888/udp/239.77.0.172:5146
CCTV8,http://116.25.242.161:18888/udp/239.77.0.181:5146
CCTV8,http://116.252.28.195:9099/udp/239.81.0.234:4056
CCTV8,http://121.234.169.87:8889/rtp/239.49.1.8:6000
CCTV8,http://121.234.169.87:8889/rtp/239.49.9.34:6000
CCTV8,http://27.11.104.166:8001/udp/225.0.4.137:7980
CCTV8,http://27.11.104.166:8002/udp/225.0.4.137:7980
CCTV8,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV8,http://49.65.90.128:8800/rtp/239.49.1.8:6000
CCTV8,http://49.65.90.128:8800/rtp/239.49.9.34:6000
CCTV8,http://49.83.225.47:4022/rtp/239.49.1.8:6000
CCTV8,http://49.83.225.47:4022/rtp/239.49.9.34:6000
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
CCTV9,http://1.195.111.251:11190/tsfile/live/0009_1.m3u8
CCTV9,http://116.25.242.161:18888/udp/239.77.0.135:5146
CCTV9,http://116.25.242.161:18888/udp/239.77.1.160:5146
CCTV9,http://116.25.242.161:18888/udp/239.77.1.168:5146
CCTV9,http://116.252.28.195:9099/udp/239.81.0.117:4056
CCTV9,http://116.252.28.195:9099/udp/239.81.0.21:4056
CCTV9,http://121.234.169.87:8889/rtp/239.49.8.133:6000
CCTV9,http://27.11.104.166:8001/udp/225.0.4.131:7980
CCTV9,http://27.11.104.166:8002/udp/225.0.4.131:7980
CCTV9,http://49.65.90.128:8800/rtp/239.49.8.133:6000
CCTV9,http://49.83.225.47:4022/rtp/239.49.8.133:6000
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/index.m3u8
CCTV10,http://116.25.242.161:18888/udp/239.77.0.134:5146
CCTV10,http://116.25.242.161:18888/udp/239.77.1.113:5146
CCTV10,http://116.25.242.161:18888/udp/239.77.1.169:5146
CCTV10,http://116.252.28.195:9099/udp/239.81.0.118:4056
CCTV10,http://116.252.28.195:9099/udp/239.81.0.22:4056
CCTV10,http://121.234.169.87:8889/rtp/239.49.1.10:6000
CCTV10,http://121.234.169.87:8889/rtp/239.49.8.134:6000
CCTV10,http://27.11.104.166:8001/udp/225.0.4.130:7980
CCTV10,http://27.11.104.166:8002/udp/225.0.4.130:7980
CCTV10,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV10,http://49.65.90.128:8800/rtp/239.49.1.10:6000
CCTV10,http://49.65.90.128:8800/rtp/239.49.8.134:6000
CCTV10,http://49.83.225.47:4022/rtp/239.49.1.10:6000
CCTV10,http://49.83.225.47:4022/rtp/239.49.8.134:6000
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://116.25.242.161:18888/udp/239.77.1.238:5146
CCTV11,http://116.252.28.195:9099/udp/239.81.0.229:4056
CCTV11,http://116.252.28.195:9099/udp/239.81.0.23:4056
CCTV11,http://121.234.169.87:8889/rtp/239.49.1.11:6000
CCTV11,http://27.11.104.166:8001/udp/225.0.4.218:7980
CCTV11,http://27.11.104.166:8002/udp/225.0.4.218:7980
CCTV11,http://49.65.90.128:8800/rtp/239.49.1.11:6000
CCTV11,http://49.83.225.47:4022/rtp/239.49.1.11:6000
CCTV12,http://116.25.242.161:18888/udp/239.77.0.136:5146
CCTV12,http://116.25.242.161:18888/udp/239.77.1.109:5146
CCTV12,http://116.25.242.161:18888/udp/239.77.1.170:5146
CCTV12,http://116.252.28.195:9099/udp/239.81.0.119:4056
CCTV12,http://116.252.28.195:9099/udp/239.81.0.24:4056
CCTV12,http://121.234.169.87:8889/rtp/239.49.1.12:6000
CCTV12,http://121.234.169.87:8889/rtp/239.49.8.135:6000
CCTV12,http://27.11.104.166:8001/udp/225.0.4.129:7980
CCTV12,http://27.11.104.166:8002/udp/225.0.4.129:7980
CCTV12,http://49.65.90.128:8800/rtp/239.49.1.12:6000
CCTV12,http://49.65.90.128:8800/rtp/239.49.8.135:6000
CCTV12,http://49.83.225.47:4022/rtp/239.49.1.12:6000
CCTV12,http://49.83.225.47:4022/rtp/239.49.8.135:6000
CCTV13,http://116.25.242.161:18888/udp/239.253.43.196:5146
CCTV13,http://116.25.242.161:18888/udp/239.77.0.188:5146
CCTV13,http://116.252.28.195:9099/udp/239.81.0.206:4056
CCTV13,http://116.252.28.195:9099/udp/239.81.0.26:4056
CCTV13,http://121.234.169.87:8889/rtp/239.49.1.13:6000
CCTV13,http://121.234.169.87:8889/rtp/239.49.9.43:6000
CCTV13,http://27.11.104.166:8001/udp/225.0.4.219:7980
CCTV13,http://27.11.104.166:8002/udp/225.0.4.219:7980
CCTV13,http://49.65.90.128:8800/rtp/239.49.1.13:6000
CCTV13,http://49.65.90.128:8800/rtp/239.49.9.43:6000
CCTV13,http://49.83.225.47:4022/rtp/239.49.1.13:6000
CCTV13,http://49.83.225.47:4022/rtp/239.49.9.43:6000
CCTV14,http://116.25.242.161:18888/udp/239.77.0.133:5146
CCTV14,http://116.25.242.161:18888/udp/239.77.1.161:5146
CCTV14,http://116.25.242.161:18888/udp/239.77.1.171:5146
CCTV14,http://116.252.28.195:9099/udp/239.81.0.120:4056
CCTV14,http://116.252.28.195:9099/udp/239.81.0.25:4056
CCTV14,http://121.234.169.87:8889/rtp/239.49.1.14:6000
CCTV14,http://121.234.169.87:8889/rtp/239.49.8.136:6000
CCTV14,http://27.11.104.166:8001/udp/225.0.4.128:7980
CCTV14,http://27.11.104.166:8002/udp/225.0.4.128:7980
CCTV14,http://49.65.90.128:8800/rtp/239.49.1.14:6000
CCTV14,http://49.65.90.128:8800/rtp/239.49.8.136:6000
CCTV14,http://49.83.225.47:4022/rtp/239.49.1.14:6000
CCTV14,http://49.83.225.47:4022/rtp/239.49.8.136:6000
CCTV15,http://116.25.242.161:18888/udp/239.77.1.239:5146
CCTV15,http://116.252.28.195:9099/udp/239.81.0.230:4056
CCTV15,http://116.252.28.195:9099/udp/239.81.0.27:4056
CCTV15,http://121.234.169.87:8889/rtp/239.49.1.15:6000
CCTV15,http://27.11.104.166:8001/udp/225.0.4.220:7980
CCTV15,http://27.11.104.166:8002/udp/225.0.4.220:7980
CCTV15,http://49.65.90.128:8800/rtp/239.49.1.15:6000
CCTV15,http://49.83.225.47:4022/rtp/239.49.1.15:6000
CCTV16,http://116.25.242.161:18888/udp/239.77.0.165:5146
CCTV16,http://116.25.242.161:18888/udp/239.77.1.76:5146
CCTV16,http://116.25.242.161:18888/udp/239.77.1.98:5146
CCTV17,http://116.25.242.161:18888/udp/239.77.1.121:5146
CCTV17,http://116.252.28.195:9099/udp/239.81.0.227:4056
CCTV17,http://116.252.28.195:9099/udp/239.81.0.228:4056
CCTV17,http://121.234.169.87:8889/rtp/239.49.1.7:6000
CCTV17,http://27.11.104.166:8001/udp/225.0.4.179:7980
CCTV17,http://27.11.104.166:8002/udp/225.0.4.179:7980
CCTV17,http://49.65.90.128:8800/rtp/239.49.1.7:6000
CCTV17,http://49.83.225.47:4022/rtp/239.49.1.7:6000
CETV1,http://116.252.28.195:9099/udp/239.81.0.52:4056
CETV1,http://116.252.28.195:9099/udp/239.81.0.92:4056
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://116.252.28.195:9099/udp/239.81.0.245:4056
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV3,http://[2409:8087:7004:20:1000::22]:6610/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CETV4,http://116.252.28.195:9099/udp/239.81.0.246:4056
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8
CHC动作电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://58.19.13.92:9901/tsfile/live/1037_1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC高清电影,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院,http://[2409:8087:7001:20:2::3]:80/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/index.m3u8
CHC家庭影院,https://iptv.luas.edu.cn/liverespath/449d51febadb152094085d373b9af94a6ac5f1dd/e54a85c393-0-0-6b7edb011f653e636fe3aaaa916ce31c/index.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?$3M1280x720
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNA,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8?zshijd
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
CNBC,http://23.237.98.42:8080/USA_CNBC/index.m3u8
CNN,https://d30x5vsa85tvmd.cloudfront.net/index_5.m3u8
Comedy Central,http://38.96.178.201:80/live/ComedyCentral/index.m3u8
Discovery Channel,http://38.96.178.201:80/live/Discovery/index.m3u8
Disney Channel,http://38.96.178.201:80/live/Disney/index.m3u8
Disney XD,http://38.96.178.201:80/live/DisneyXD/index.m3u8
ESPN 2,http://38.96.178.201:80/live/ESPN2/index.m3u8
ESPN HD,http://38.96.178.201:80/live/ESPNHD/index.m3u8
ESPN新闻,http://38.96.178.201:80/live/ESPNews/index.m3u8
Euro新闻,https://shls-live-ak.akamaized.net/out/v1/115bfcde8fa342d182ef846445cdbdcf/index.m3u8
Fox Sports,http://38.96.178.201:80/live/FOXSPORTS2/index.m3u8
FOX新闻,http://38.96.178.201:80/live/FOXHD/index.m3u8
FOX新闻,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
GB新闻,https://live-gbnews.simplestreamcdn.com/live5/gbnews/bitrate1.isml/manifest.m3u8
History,http://38.96.178.201:80/live/History/index.m3u8
IPTV3,http://27.11.104.166:8001/udp/225.0.4.51:7980
IPTV3,http://27.11.104.166:8002/udp/225.0.4.51:7980
IPTV5,http://27.11.104.166:8001/udp/225.0.4.53:7980
IPTV5,http://27.11.104.166:8002/udp/225.0.4.53:7980
IPTV6,http://27.11.104.166:8001/udp/225.0.4.50:7980
IPTV6,http://27.11.104.166:8002/udp/225.0.4.50:7980
IPTV8,http://27.11.104.166:8001/udp/225.0.4.54:7980
IPTV8,http://27.11.104.166:8002/udp/225.0.4.54:7980
Love Nature,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Movies Now,http://195.26.87.217/live.ts?channelId=162&uid=7435&deviceMac=00:1A:79:51:4B:3A
NBA,http://38.96.178.201/live/NBA/index.m3u8
Newsmax,http://nmxlive.akamaized.net/hls/live/529965/Live_1/index.m3u8
NHK世界,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
RTHK,http://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/master.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream2/streamPlaylist.m3u8
RTHK32,https://rthktv32-live.akamaized.net/hls/live/2036819/RTHKTV32/stream5/streamPlaylist.m3u8
Star Movies,http://45.127.56.3:9698/live/Corpus-POL/SRV4/1/STAR-MOVIES-HD/video.m3u8
安徽卫视,http://116.25.242.161:18888/udp/239.77.0.183:5146
安徽卫视,http://116.25.242.161:18888/udp/239.77.0.50:5146
安徽卫视,http://116.25.242.161:18888/udp/239.77.1.13:5146
安徽卫视,http://116.25.242.161:18888/udp/239.77.1.157:5146
安徽卫视,http://116.25.242.161:18888/udp/239.77.1.92:5146
安徽卫视,http://116.252.28.195:9099/udp/239.81.0.211:4056
